game_id,rating
2,2115.7788
7,2044.2074
11,1618.7871
14,2037.1099
27,2093.5466
28,1917.7427
32,2094.0378
40,1798.9692
41,1932.3331
44,1584.1178
55,1836.7125
57,1821.7426
60,1828.818
61,2015.8271
62,2034.6857
63,2084.4055
65,1971.0397
68,1967.4183
69,2092.977
70,1866.2451
78,1629.32
82,1898.4285
85,1723.0769
86,1730.651
90,2011.3881
91,1735.0728
92,2150.948
93,1900.7513
94,1869.7754
100,1993.0383
102,1784.0333
103,1882.5845
107,2120.464
110,2013.3584
119,2087.8318
121,2062.1335
125,2051.4912
130,1718.1774
131,1995.6655
135,1750.2606
137,2184.4592
138,1609.6241
139,2098.2441
145,1941.8131
151,1947.2174
152,1956.8491
155,1920.8174
161,1858.2334
162,1915.1781
167,1855.5828
168,1876.8518
173,1951.0295
175,1622.808
177,1936.0381
184,1836.8025
188,1981.2087
191,1847.248
195,2110.688
198,1767.2224
200,1930.7928
201,2003.8672
206,2109.8213
207,2059.8118
208,1685.6448
212,2076.2957
213,2080.298
219,2080.0632
221,1997.1747
223,1579.1163
230,2102.1423
231,1822.7257
232,1861.2035
235,1632.243
238,1981.33
239,1970.1179
240,1995.4446
243,1763.698
244,2097.9365
251,1837.2616
255,1687.897
256,1771.2402
258,1933.3392
259,1742.6848
261,1830.9813
262,1893.4016
263,1421.5157
264,1809.5977
265,2030.5673
269,2006.4812
270,1822.423
273,2076.5784
276,1580.594
278,2077.0703
281,2042.3859
285,1796.1581
286,1587.4264
288,1776.7556
291,1657.0448
295,1396.9237
296,1699.6637
305,2014.2145
307,2008.3749
309,2081.9053
310,1973.1313
312,1653.6064
320,1683.8436
322,2021.0608
323,2163.993
324,2000.4994
327,1973.3268
329,1960.0817
330,1597.682
333,2102.4062
334,1451.6174
335,2030.8165
338,1791.624
342,1855.5374
346,1773.2865
347,2006.1257
350,2021.2106
351,1733.1431
354,1645.355
361,1869.2919
366,1746.7087
369,1769.348
371,2009.841
374,2045.429
375,1908.4755
376,2048.024
378,1770.3475
386,1835.7372
389,1604.6707
398,2070.911
400,1996.2236
401,2087.798
402,2036.9058
403,2180.733
410,2029.5562
412,1592.9996
416,1740.1294
418,1861.5986
419,2055.0747
420,2078.4907
425,1792.5541
428,1672.8212
429,1830.6399
435,1965.9371
439,1763.698
441,1762.8218
443,2030.5817
446,1823.3265
450,1704.6328
451,1984.2705
452,1676.5697
456,1763.9277
462,1940.9995
463,2045.7421
464,2152.5427
465,2060.9763
466,1921.8088
469,1817.38
470,1658.4457
472,1663.7899
473,1825.0692
476,2138.1208
477,1868.325
478,1469.5675
479,2039.1465
481,1497.472
482,1889.2394
483,2070.8975
485,1827.3854
487,2036.0234
488,1883.202
490,1851.3608
500,1742.7946
508,1666.6545
509,1921.4015
512,1779.522
518,1948.6552
520,2096.071
522,1645.1869
523,1905.3298
528,1771.6241
